incident_id,vehicle_id,incident_type,response_minutes,dispatch_time
INC-0001,E-16,Confined Space,9.76,2025-12-19 17:14:00
INC-0002,E-21,High Rise Rescue,10.59,2025-01-29 07:52:00
INC-0003,E-03,Medical Emergency,9.36,2025-04-19 18:56:00
INC-0004,E-21,Structure Fire,6.12,2025-12-02 15:25:00
INC-0005,E-30,Confined Space,9.35,2025-10-15 17:16:00
INC-0006,E-28,Water Rescue,9.57,2025-07-24 11:14:00
INC-0007,E-09,Medical Emergency,7.41,2025-02-26 04:40:00
INC-0008,E-11,High Rise Rescue,8.43,2025-12-15 13:38:00
INC-0009,E-05,Hazmat,5.98,2025-09-28 08:35:00
INC-0010,E-01,Confined Space,10.73,2025-02-28 21:56:00
INC-0011,E-35,Vehicle Accident,8.52,2025-02-27 09:27:00
INC-0012,E-11,Hazmat,4.22,2025-01-02 23:56:00
INC-0013,E-17,Water Rescue,12.67,2025-02-24 20:19:00
INC-0014,E-33,Water Rescue,7.76,2025-04-12 04:23:00
INC-0015,E-11,Water Rescue,4.29,2025-01-01 19:20:00
INC-0016,E-32,Medical Emergency,7.44,2025-02-27 11:56:00
INC-0017,E-20,Water Rescue,8.62,2025-02-10 02:46:00
INC-0018,E-32,High Rise Rescue,10.35,2025-02-05 17:49:00
INC-0019,E-09,Water Rescue,10.46,2025-03-26 08:33:00
INC-0020,E-28,Structure Fire,10.55,2025-10-04 23:44:00
INC-0021,E-13,Confined Space,7.92,2025-11-29 11:28:00
INC-0022,E-34,Hazmat,6.05,2025-03-03 07:14:00
INC-0023,E-05,Structure Fire,6.75,2025-10-29 07:00:00
INC-0024,E-05,Confined Space,11.33,2025-11-20 01:14:00
INC-0025,E-05,Medical Emergency,12.6,2025-09-21 07:17:00
INC-0026,E-32,Structure Fire,5.73,2025-10-04 04:46:00
INC-0027,E-31,Hazmat,8.62,2025-04-08 03:06:00
INC-0028,E-28,Vehicle Accident,11.33,2025-08-05 13:29:00
INC-0029,E-04,Medical Emergency,5.17,2025-02-01 12:46:00
INC-0030,E-22,High Rise Rescue,2.12,2025-02-25 07:12:00
INC-0031,E-13,Structure Fire,7.16,2025-05-23 14:15:00
INC-0032,E-05,Hazmat,8.19,2025-10-09 03:03:00
INC-0033,E-35,High Rise Rescue,11.89,2025-05-02 05:26:00
INC-0034,E-32,Hazmat,2.85,2025-04-20 12:57:00
INC-0035,E-04,Hazmat,8.58,2025-05-16 14:18:00
INC-0036,E-28,Confined Space,8.64,2025-10-12 21:45:00
INC-0037,E-32,Medical Emergency,9.68,2025-10-24 23:34:00
INC-0038,E-04,Confined Space,10.23,2025-06-10 01:03:00
INC-0039,E-31,Structure Fire,3.61,2025-01-30 16:05:00
INC-0040,E-12,Medical Emergency,8.41,2025-11-01 02:43:00
INC-0041,E-16,Water Rescue,3.6,2025-05-07 18:38:00
INC-0042,E-03,Water Rescue,11.89,2025-02-11 13:42:00
INC-0043,E-34,Confined Space,7.71,2025-06-10 07:16:00
INC-0044,E-26,Structure Fire,10.28,2025-12-10 20:19:00
INC-0045,E-30,Medical Emergency,6.81,2025-01-05 14:39:00
INC-0046,E-07,Medical Emergency,12.32,2025-10-03 06:32:00
INC-0047,E-17,Medical Emergency,10.06,2025-05-06 11:18:00
INC-0048,E-11,Hazmat,10.21,2025-10-06 22:19:00
INC-0049,E-34,Vehicle Accident,13.1,2025-12-06 03:56:00
INC-0050,E-09,Vehicle Accident,8.73,2025-03-01 03:47:00
INC-0051,E-10,Confined Space,8.02,2025-06-25 06:43:00
INC-0052,E-17,Water Rescue,11.87,2025-09-08 08:57:00
INC-0053,E-04,Vehicle Accident,10.7,2025-01-23 00:21:00
INC-0054,E-09,Confined Space,9.94,2025-05-15 05:47:00
INC-0055,E-29,Medical Emergency,6.0,2025-02-27 02:56:00
INC-0056,E-10,Water Rescue,7.66,2025-01-19 11:37:00
INC-0057,E-10,Vehicle Accident,7.84,2025-01-21 11:13:00
INC-0058,E-16,Confined Space,8.81,2025-02-22 11:49:00
INC-0059,E-27,Structure Fire,12.6,2025-03-25 05:56:00
INC-0060,E-27,Medical Emergency,7.82,2025-04-02 23:59:00
INC-0061,E-22,Confined Space,9.02,2025-05-08 08:10:00
INC-0062,E-07,Hazmat,5.98,2025-01-20 15:14:00
INC-0063,E-13,Vehicle Accident,9.63,2025-04-27 07:01:00
INC-0064,E-13,Hazmat,5.96,2025-06-18 08:55:00
