incident_id,call_timestamp,incident_type,severity_level,hazard_type,station,vehicle_id,vehicle_type,latitude,longitude,dispatch_timestamp,arrival_timestamp,cleared_timestamp,distance_km,response_minutes,vehicle_status,is_first_arrival
INC-00209,2025-01-01 12:06:25,Hazmat,4,Chemical,Station 03,E-05,Engine,31.493068,74.341432,2025-01-01 12:08:07.286749660,2025-01-01 12:20:06.301978750,2025-01-01 14:39:05.425559314,12.4,11.98,Available,False
INC-00124,2025-01-01 13:36:24,High-Rise Rescue,4,High-Rise,Station 21,L-01,Ladder,31.550718,74.444547,2025-01-01 13:40:17.486338782,2025-01-01 13:47:53.752220760,2025-01-01 15:45:43.282147974,4.18,7.6,Available,True
INC-00672,2025-01-01 13:38:35,Vehicle Accident,3,Road Traffic,Station 21,E-03,Engine,31.5157,74.407353,2025-01-01 13:40:29.001188126,2025-01-01 13:47:49.809465464,2025-01-01 15:40:46.151529248,5.46,7.35,Available,True
INC-00255,2025-01-01 16:58:07,Hazmat,4,Chemical,Station 12,E-01,Engine,31.457529,74.377677,2025-01-01 17:00:45.272972752,2025-01-01 17:08:58.894049344,2025-01-01 19:02:24.712136944,2.47,8.23,Available,False
INC-00741,2025-01-01 19:37:20,Vehicle Accident,3,Road Traffic,Station 12,E-05,Engine,31.486399,74.378175,2025-01-01 19:41:15.140779166,2025-01-01 19:48:36.603477296,2025-01-01 21:09:26.742842672,6.0,7.36,Available,True
INC-01025,2025-01-02 01:36:33,Medical Emergency,2,Medical,Station 07,E-01,Engine,31.531268,74.341597,2025-01-02 01:39:11.103825906,2025-01-02 01:47:50.764580202,2025-01-02 03:12:45.838721616,7.61,8.66,Available,True
INC-00025,2025-01-02 04:42:35,Medical Emergency,1,Medical,Station 07,E-01,Engine,31.552711,74.347968,2025-01-02 04:43:48.415446308,2025-01-02 04:51:11.141791532,2025-01-02 06:06:51.204552050,4.11,7.38,Available,True
INC-00536,2025-01-02 09:00:34,Medical Emergency,4,Medical,Station 12,R-02,Rescue,31.488149,74.35021,2025-01-02 09:04:39.851472748,2025-01-02 09:13:58.994740096,2025-01-02 11:36:44.747486344,5.99,9.32,Available,False
INC-00623,2025-01-02 16:05:56,Medical Emergency,1,Medical,Station 12,E-02,Engine,31.49609,74.367264,2025-01-02 16:08:34.632022208,2025-01-02 16:13:05.186557700,2025-01-02 17:15:42.449231228,2.84,4.51,Available,True
INC-00590,2025-01-03 02:51:02,Vehicle Accident,3,Road Traffic,Station 07,E-01,Engine,31.549236,74.312147,2025-01-03 02:52:10.694874758,2025-01-03 02:56:42.590884184,2025-01-03 03:41:36.106525190,4.24,4.53,Dispatched,True
